source_name	source_dtype	source_shape	transformation	destination_name	destination_dtype	destination_shape	component	role
model.diffusion_model.transformer_blocks.23.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.23.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.23.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.23.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.23.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.23.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.23.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.23.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.23.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.23.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.24.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.24.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.24.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.24.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.24.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.24.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.24.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.24.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.24.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.25.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.25.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.25.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.25.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.25.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.25.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.25.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.25.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.25.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.26.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.26.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.26.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.26.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.26.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.26.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.26.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.26.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.26.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.27.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.27.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.27.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.27.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.27.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.27.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.27.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.27.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.27.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn1.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn1.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_k.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_k.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_k.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_out.0.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_out.0.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_out.0.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_out.0.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_q.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_q.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_q.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_q.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_v.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_v.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.attn2.to_v.weight	BF16	[2048,2048]	identity_bytes	denoiser.transformer_blocks.3.attn2.to_v.weight	BF16	[2048,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.ff.net.0.proj.bias	BF16	[8192]	identity_bytes	denoiser.transformer_blocks.3.ff.net.0.proj.bias	BF16	[8192]	denoiser	weight
model.diffusion_model.transformer_blocks.3.ff.net.0.proj.weight	BF16	[8192,2048]	identity_bytes	denoiser.transformer_blocks.3.ff.net.0.proj.weight	BF16	[8192,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.ff.net.2.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.3.ff.net.2.bias	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.3.ff.net.2.weight	BF16	[2048,8192]	identity_bytes	denoiser.transformer_blocks.3.ff.net.2.weight	BF16	[2048,8192]	denoiser	weight
model.diffusion_model.transformer_blocks.3.scale_shift_table	BF16	[6,2048]	identity_bytes	denoiser.transformer_blocks.3.scale_shift_table	BF16	[6,2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.k_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.k_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.q_norm.weight	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.q_norm.weight	BF16	[2048]	denoiser	weight
model.diffusion_model.transformer_blocks.4.attn1.to_k.bias	BF16	[2048]	identity_bytes	denoiser.transformer_blocks.4.attn1.to_k.bias	BF16	[2048]	denoiser	weight
