source_name	storage_name	source_dtype	source_shape	storage_offset	transformation	destination_name	destination_dtype	destination_shape	component	role
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.bias	1027	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.weight	1026	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_out.0.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_q.weight	1023	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_q.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_v.weight	1025	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.attention_blocks.1.to_v.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.0.proj.bias	1034	F32	2560	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.0.proj.bias	F32	2560	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.0.proj.weight	1033	F32	2560,320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.0.proj.weight	F32	2560,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.2.bias	1036	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.2.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.2.weight	1035	F32	320,1280	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff.net.2.weight	F32	320,1280	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff_norm.bias	1038	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff_norm.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff_norm.weight	1037	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.ff_norm.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.0.bias	1030	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.0.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.0.weight	1029	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.0.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.1.bias	1032	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.1.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.1.weight	1031	F32	320	0	identity_bytes	down_blocks.0.motion_modules.0.temporal_transformer.transformer_blocks.0.norms.1.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.norm.bias	1042	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.norm.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.norm.weight	1041	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.norm.weight	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.proj_in.bias	1044	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.proj_in.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.proj_in.weight	1043	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.proj_in.weight	F32	320,320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.proj_out.bias	1068	F32	320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.proj_out.bias	F32	320	temporal_conditional_unet_2d	weight
down_blocks.0.motion_modules.1.temporal_transformer.proj_out.weight	1067	F32	320,320	0	identity_bytes	down_blocks.0.motion_modules.1.temporal_transformer.proj_out.weight	F32	320,320	temporal_conditional_unet_2d	weight
